timesheet_id,employee_id,project_id,work_date,hours_logged,overtime_hours
124,1019,208,2025-12-08,4.79,0.0
125,1188,226,2026-03-14,6.3,0.0
126,1081,212,2026-02-25,4.61,0.0
127,1036,213,2026-04-26,9.29,1.29
128,1193,228,2025-11-29,8.64,0.64
129,1174,205,2026-02-15,4.8,0.0
130,1145,201,2025-12-26,4.41,0.0
131,1043,215,2025-06-23,7.66,0.0
132,1055,221,2025-06-20,6.11,0.0
133,1106,220,2025-12-22,8.49,0.49
134,1056,203,2026-01-15,8.12,0.12
135,1036,225,2025-09-05,9.38,1.38
136,1187,213,2025-12-25,4.74,0.0
137,1110,211,2025-09-06,6.11,0.0
138,1064,209,2026-05-07,8.75,0.75
139,1064,218,2025-11-08,7.87,0.0
140,1185,220,2026-03-28,7.61,0.0
141,1177,201,2026-01-19,5.71,0.0
142,1169,229,2026-02-18,9.09,1.09
143,1133,220,2026-04-26,5.81,0.0
144,1192,213,2025-05-08,7.06,0.0
145,1014,226,2025-12-10,5.77,0.0
146,1062,216,2025-06-19,9.39,1.39
147,1062,216,2025-08-23,6.32,0.0
148,1019,217,2026-04-24,7.83,0.0
149,1004,212,2025-06-06,9.33,1.33
150,1034,213,2025-09-21,9.6,1.6
151,1146,214,2026-03-25,9.16,1.16
152,1175,206,2025-07-23,6.19,0.0
153,1198,203,2025-11-02,8.58,0.58
154,1018,201,2025-11-19,4.1,0.0
155,1011,230,2025-09-13,5.57,0.0
156,1102,217,2026-03-15,4.36,0.0
157,1183,217,2026-03-28,5.72,0.0
158,1109,223,2025-12-14,8.6,0.6
159,1164,218,2025-08-10,6.41,0.0
160,1040,209,2026-02-21,7.23,0.0
161,1021,217,2026-04-02,4.5,0.0
162,1040,218,2025-09-05,9.53,1.53
163,1151,221,2025-08-27,5.96,0.0
164,1167,222,2026-01-09,8.58,0.58
165,1080,223,2025-11-09,7.86,0.0
166,1062,202,2025-09-14,6.62,0.0
167,1112,204,2025-11-02,5.47,0.0
168,1156,202,2026-04-12,6.72,0.0
169,1190,222,2026-04-06,5.86,0.0
170,1031,201,2026-02-28,8.44,0.44
171,1180,201,2026-03-05,8.25,0.25
172,1089,217,2026-04-05,4.98,0.0
173,1185,209,2026-02-16,7.1,0.0
174,1033,224,2025-06-08,5.0,0.0
175,1069,224,2025-05-15,8.69,0.69
176,1198,229,2025-11-08,9.32,1.32
177,1110,209,2026-05-04,4.18,0.0
178,1068,223,2026-03-01,7.14,0.0
179,1161,203,2026-01-15,9.85,1.85
180,1131,212,2025-07-07,6.98,0.0
181,1146,206,2025-08-18,4.33,0.0
182,1066,225,2025-12-09,6.21,0.0
183,1147,222,2025-11-30,4.62,0.0
184,1059,224,2025-10-21,8.34,0.34
185,1012,228,2025-12-19,7.05,0.0
186,1063,202,2026-01-13,9.18,1.18
187,1099,230,2026-04-24,6.83,0.0
188,1010,218,2025-12-29,4.9,0.0
189,1183,224,2025-09-11,8.82,0.82
190,1058,211,2026-03-30,7.93,0.0
191,1185,211,2025-11-14,5.49,0.0
192,1020,219,2025-10-02,5.63,0.0
193,1129,222,2026-04-18,6.24,0.0
194,1046,208,2026-01-05,9.41,1.41
195,1012,213,2026-04-19,8.83,0.83
196,1120,228,2025-05-31,4.41,0.0
197,1080,211,2026-01-27,5.69,0.0
198,1117,201,2025-12-14,4.52,0.0
199,1075,219,2026-03-09,6.21,0.0
200,1190,220,2025-09-24,8.71,0.71
201,1095,219,2025-11-08,5.46,0.0
202,1198,225,2026-02-17,9.83,1.83
203,1140,225,2025-09-22,5.17,0.0
204,1039,201,2026-05-01,8.78,0.78
205,1007,208,2025-09-06,9.59,1.59
206,1163,227,2025-06-06,7.25,0.0
207,1003,211,2026-04-10,8.16,0.16
208,1169,213,2025-06-14,4.01,0.0
209,1187,210,2025-11-05,9.09,1.09
210,1136,208,2025-10-16,4.62,0.0
211,1016,205,2025-08-21,6.52,0.0
212,1024,202,2026-04-23,8.27,0.27
213,1134,214,2025-07-09,9.53,1.53
214,1096,215,2025-10-08,8.21,0.21
215,1022,219,2026-01-19,9.85,1.85
216,1035,221,2025-09-20,4.57,0.0
217,1020,219,2025-12-12,8.92,0.92
218,1112,222,2025-10-01,7.41,0.0
219,1061,210,2025-05-25,9.79,1.79
220,1081,230,2025-10-11,5.57,0.0
221,1180,227,2026-03-06,8.8,0.8
222,1082,215,2025-09-25,8.41,0.41
223,1020,207,2025-11-14,5.63,0.0
224,1198,219,2025-07-14,4.82,0.0
225,1028,206,2025-07-22,4.65,0.0
226,1081,214,2026-01-17,6.7,0.0
227,1092,225,2026-03-06,4.72,0.0
228,1079,215,2025-08-26,5.25,0.0
229,1031,203,2025-09-06,5.59,0.0
230,1176,210,2026-01-13,4.95,0.0
231,1179,220,2025-12-15,8.96,0.96
232,1084,205,2025-06-15,4.24,0.0
233,1064,212,2026-02-15,4.55,0.0
234,1013,222,2025-08-03,6.38,0.0
235,1045,201,2025-07-29,5.79,0.0
236,1116,218,2026-01-13,9.71,1.71
237,1064,204,2026-04-24,8.49,0.49
238,1036,204,2025-08-28,6.77,0.0
239,1200,208,2026-01-07,4.07,0.0
240,1103,212,2025-06-18,4.78,0.0
241,1166,203,2025-08-20,8.12,0.12
242,1067,230,2026-05-04,7.49,0.0
243,1006,203,2026-02-20,8.88,0.88
244,1166,215,2025-08-28,5.19,0.0
245,1024,229,2025-09-21,8.86,0.86
246,1085,204,2025-11-14,9.08,1.08
247,1119,202,2025-05-25,4.26,0.0
248,1147,214,2026-01-25,5.01,0.0
249,1102,216,2025-06-04,8.93,0.93
250,1175,214,2025-11-05,4.18,0.0
251,1055,230,2026-01-20,5.04,0.0
252,1072,215,2025-05-13,5.12,0.0
253,1009,220,2025-12-04,9.3,1.3
254,1063,221,2026-01-12,7.72,0.0
255,1106,229,2025-12-02,5.77,0.0
256,1016,203,2026-04-03,7.3,0.0
257,1036,214,2026-01-29,5.68,0.0
258,1135,208,2025-11-27,5.2,0.0
259,1140,226,2025-09-20,7.78,0.0
260,1098,226,2025-05-28,4.12,0.0
261,1123,218,2025-06-22,8.28,0.28
262,1089,230,2026-04-08,8.69,0.69
263,1083,213,2025-05-20,7.39,0.0
264,1007,211,2025-07-05,5.62,0.0
265,1008,229,2025-10-28,7.58,0.0
266,1072,202,2026-02-08,8.86,0.86
267,1121,217,2025-08-17,8.85,0.85
268,1150,208,2025-06-14,6.14,0.0
269,1026,208,2025-05-18,9.84,1.84
270,1069,218,2025-11-03,7.94,0.0
271,1189,202,2026-04-19,8.9,0.9
272,1057,219,2025-08-28,8.58,0.58
273,1100,212,2025-08-11,9.08,1.08
274,1045,206,2026-04-26,9.61,1.61
275,1082,226,2025-09-15,5.42,0.0
276,1092,230,2025-12-09,8.43,0.43
277,1181,223,2026-01-06,7.55,0.0
278,1146,219,2025-09-19,6.11,0.0
279,1049,227,2025-10-07,4.85,0.0
280,1127,218,2025-11-24,9.93,1.93
281,1126,202,2026-03-09,5.85,0.0
282,1060,220,2025-12-07,4.54,0.0
283,1135,216,2026-02-15,5.31,0.0
284,1158,207,2025-11-01,4.0,0.0
285,1088,223,2026-03-26,8.84,0.84
286,1083,202,2026-04-20,5.06,0.0
287,1151,223,2025-07-06,4.13,0.0
288,1199,204,2025-08-28,9.5,1.5
289,1094,203,2026-03-11,9.08,1.08
290,1170,213,2025-08-25,6.24,0.0
291,1087,210,2026-04-24,7.52,0.0
292,1041,224,2026-04-26,5.94,0.0
293,1164,216,2026-02-15,9.69,1.69
294,1045,223,2025-11-22,7.9,0.0
295,1178,229,2025-07-30,9.81,1.81
296,1092,208,2025-07-11,9.57,1.57
297,1045,213,2026-04-21,7.99,0.0
298,1177,210,2025-05-09,5.84,0.0
299,1187,201,2025-12-06,4.76,0.0
300,1147,213,2025-11-17,9.69,1.69
301,1198,219,2025-06-17,9.1,1.1
302,1155,211,2025-08-26,4.19,0.0
303,1157,208,2025-08-11,9.53,1.53
304,1027,230,2026-02-06,7.84,0.0
305,1085,224,2025-11-30,6.98,0.0
306,1089,211,2025-05-21,4.47,0.0
307,1023,227,2025-08-31,5.01,0.0
308,1164,224,2025-08-05,8.25,0.25
309,1115,201,2025-06-16,9.32,1.32
310,1064,223,2025-05-27,5.59,0.0
311,1066,226,2025-10-15,4.41,0.0
312,1001,202,2025-09-19,4.65,0.0
313,1188,214,2025-12-02,6.32,0.0
314,1106,216,2026-02-24,9.81,1.81
315,1090,218,2026-03-07,9.29,1.29
316,1123,226,2025-06-03,6.25,0.0
317,1167,225,2026-01-15,9.18,1.18
318,1042,215,2025-11-17,8.12,0.12
319,1009,210,2025-10-28,4.44,0.0
320,1067,204,2025-08-28,4.12,0.0
321,1044,229,2025-08-17,4.45,0.0
322,1188,203,2025-05-12,6.25,0.0
323,1024,211,2026-03-02,7.28,0.0
324,1158,229,2025-12-23,7.56,0.0
325,1008,214,2025-12-03,6.9,0.0
326,1043,220,2026-03-15,9.65,1.65
327,1041,202,2026-01-19,9.34,1.34
328,1053,207,2026-03-30,4.61,0.0
329,1142,224,2025-09-13,6.46,0.0
330,1139,209,2026-01-20,9.55,1.55
331,1077,208,2025-08-03,7.96,0.0
332,1101,219,2025-08-01,4.58,0.0
333,1126,205,2025-09-13,7.3,0.0
334,1001,214,2025-08-29,4.33,0.0
335,1170,221,2025-09-23,4.53,0.0
336,1052,204,2025-06-16,7.6,0.0
337,1044,221,2026-02-19,4.15,0.0
338,1021,216,2025-06-03,5.75,0.0
339,1079,226,2026-03-15,9.06,1.06
340,1126,229,2025-09-09,6.38,0.0
341,1024,221,2025-05-11,7.97,0.0
342,1048,212,2025-11-24,7.26,0.0
343,1095,206,2025-12-20,9.31,1.31
344,1068,215,2026-04-26,6.67,0.0
345,1058,227,2025-05-27,6.79,0.0
346,1016,205,2025-06-10,5.61,0.0
347,1171,204,2025-12-06,8.51,0.51
348,1089,226,2025-08-21,4.51,0.0
349,1194,219,2026-01-21,7.25,0.0
350,1016,227,2026-03-15,5.37,0.0
351,1134,214,2025-08-20,6.32,0.0
352,1176,228,2025-08-17,9.79,1.79
353,1147,229,2025-07-14,9.62,1.62
354,1077,203,2025-11-20,5.41,0.0
355,1183,202,2025-10-28,6.37,0.0
356,1133,226,2025-09-15,7.01,0.0
357,1159,205,2026-03-10,7.43,0.0
358,1194,215,2025-10-01,4.72,0.0
359,1043,207,2025-12-06,5.04,0.0
360,1033,202,2025-12-09,8.85,0.85
361,1175,214,2025-06-22,6.54,0.0
362,1161,205,2025-09-02,5.21,0.0
363,1067,211,2025-07-04,9.0,1.0
364,1018,203,2026-03-15,9.46,1.46
365,1102,218,2025-10-09,6.33,0.0
366,1071,217,2025-07-04,5.96,0.0
367,1004,226,2026-04-29,6.75,0.0
368,1151,217,2026-02-11,8.2,0.2
369,1029,214,2025-06-11,8.69,0.69
370,1146,219,2025-08-03,4.9,0.0
371,1026,230,2026-04-07,7.5,0.0
372,1200,204,2025-08-15,4.63,0.0
373,1138,229,2026-01-09,8.71,0.71
374,1106,209,2026-03-31,6.06,0.0
375,1125,219,2025-07-13,6.3,0.0
376,1010,206,2025-10-13,7.65,0.0
377,1037,220,2025-08-19,5.65,0.0
378,1178,213,2025-06-13,7.65,0.0
379,1085,223,2025-10-19,4.23,0.0
380,1191,216,2026-02-20,5.43,0.0
381,1096,201,2025-12-05,9.53,1.53
382,1078,210,2026-04-24,6.03,0.0
383,1126,228,2025-10-27,5.68,0.0
384,1026,228,2025-07-16,8.18,0.18
385,1077,224,2025-05-07,5.37,0.0
386,1083,209,2025-07-17,6.66,0.0
387,1155,221,2026-02-25,8.37,0.37
388,1114,207,2025-07-04,4.54,0.0
389,1105,224,2025-05-16,9.48,1.48
390,1133,228,2025-11-26,6.91,0.0
391,1015,217,2026-04-27,6.24,0.0
392,1017,210,2025-05-24,8.75,0.75
393,1104,205,2026-03-30,8.26,0.26
394,1135,229,2025-05-27,8.68,0.68
395,1045,207,2025-12-27,7.41,0.0
396,1052,227,2026-02-06,9.25,1.25
397,1009,215,2026-02-25,4.35,0.0
398,1093,223,2025-12-23,4.3,0.0
399,1095,227,2025-05-20,5.19,0.0
400,1102,221,2026-04-28,6.79,0.0
401,1175,201,2025-06-12,9.54,1.54
402,1126,220,2025-09-11,5.45,0.0
403,1122,219,2025-05-28,6.68,0.0
404,1089,206,2025-08-11,7.31,0.0
405,1067,224,2025-08-14,9.03,1.03
406,1024,210,2026-04-21,8.99,0.99
407,1013,206,2026-04-14,4.16,0.0
408,1200,207,2025-08-18,9.12,1.12
409,1166,208,2025-08-19,9.14,1.14
410,1069,221,2025-10-25,8.07,0.07
411,1006,228,2026-03-19,6.46,0.0
412,1197,222,2026-01-17,8.68,0.68
413,1034,221,2025-10-02,4.05,0.0
414,1003,208,2025-05-17,5.04,0.0
415,1079,223,2026-01-07,5.51,0.0
416,1165,209,2025-09-18,9.8,1.8
417,1097,228,2025-07-11,6.54,0.0
418,1065,207,2025-11-04,6.09,0.0
419,1174,217,2026-02-28,6.8,0.0
420,1102,219,2026-04-05,8.95,0.95
421,1131,222,2025-05-30,4.61,0.0
422,1096,218,2025-12-24,9.8,1.8
423,1156,210,2025-09-20,7.88,0.0
424,1028,216,2025-09-03,5.79,0.0
425,1071,221,2026-05-02,4.38,0.0
426,1071,209,2025-07-21,5.95,0.0
427,1167,210,2026-02-23,7.94,0.0
428,1133,225,2026-03-28,5.13,0.0
429,1015,226,2025-09-19,5.44,0.0
430,1154,213,2026-02-02,9.14,1.14
431,1175,205,2025-10-22,7.96,0.0
432,1168,216,2026-02-17,8.33,0.33
433,1067,230,2025-10-24,9.98,1.98
434,1100,224,2025-11-05,6.51,0.0
435,1182,219,2025-08-09,4.21,0.0
436,1088,224,2025-11-06,8.9,0.9
437,1176,218,2025-08-08,8.28,0.28
438,1122,230,2026-02-25,7.83,0.0
439,1092,217,2026-04-23,9.64,1.64
440,1044,227,2026-02-05,5.8,0.0
441,1143,206,2025-07-05,7.95,0.0
442,1121,205,2025-07-24,5.76,0.0
443,1186,226,2025-10-07,8.45,0.45
444,1047,222,2025-08-05,7.35,0.0
445,1168,203,2026-03-03,9.4,1.4
446,1058,224,2026-01-12,5.33,0.0
447,1108,226,2025-10-24,9.23,1.23
448,1096,209,2026-02-01,9.32,1.32
449,1119,228,2025-11-08,7.51,0.0
450,1014,228,2026-01-15,4.71,0.0
451,1149,220,2025-09-21,7.81,0.0
452,1050,217,2025-10-01,4.43,0.0
453,1175,213,2025-10-24,4.72,0.0
454,1106,202,2025-12-30,7.18,0.0
455,1039,205,2025-05-24,9.23,1.23
456,1088,214,2025-10-18,9.95,1.95
457,1118,205,2025-05-08,9.92,1.92
458,1184,206,2025-11-05,5.9,0.0
459,1125,211,2025-07-13,8.67,0.67
460,1046,211,2025-12-05,7.79,0.0
461,1002,215,2025-11-19,7.81,0.0
462,1195,225,2025-08-25,5.64,0.0
463,1196,206,2025-10-09,5.01,0.0
464,1196,225,2026-01-24,6.94,0.0
465,1158,214,2025-08-01,4.53,0.0
466,1104,214,2025-11-29,7.8,0.0
467,1099,201,2026-04-17,9.79,1.79
468,1052,224,2025-08-07,4.23,0.0
469,1004,229,2025-08-02,6.24,0.0
470,1136,207,2025-10-05,5.93,0.0
471,1002,221,2025-11-28,4.11,0.0
472,1058,223,2025-07-15,8.4,0.4
473,1080,205,2025-11-04,9.26,1.26
474,1129,219,2026-01-31,4.62,0.0
475,1017,227,2025-06-28,5.84,0.0
476,1075,215,2025-09-19,4.27,0.0
477,1153,217,2025-05-10,8.37,0.37
478,1176,205,2025-10-22,6.03,0.0
479,1126,212,2025-08-02,6.06,0.0
480,1043,230,2025-08-25,8.5,0.5
481,1104,201,2025-08-02,9.51,1.51
482,1187,205,2025-06-29,5.37,0.0
483,1006,219,2025-06-04,5.27,0.0
484,1032,212,2025-10-15,7.03,0.0
485,1010,213,2026-01-18,8.27,0.27
486,1066,225,2025-08-18,9.26,1.26
487,1013,220,2025-05-31,7.21,0.0
488,1170,204,2025-07-11,9.97,1.97
489,1006,202,2025-07-29,7.92,0.0
490,1107,215,2026-04-15,8.14,0.14
491,1141,209,2026-01-11,6.28,0.0
492,1040,207,2026-04-09,6.85,0.0
493,1162,201,2025-12-25,8.17,0.17
494,1170,204,2025-11-24,5.81,0.0
495,1070,220,2025-12-19,7.97,0.0
496,1036,214,2025-05-15,7.63,0.0
497,1027,217,2025-12-21,8.98,0.98
498,1031,210,2025-11-24,8.31,0.31
499,1028,216,2025-05-13,4.68,0.0
500,1052,225,2025-12-26,5.19,0.0
501,1134,207,2025-10-13,5.58,0.0
502,1105,210,2025-10-25,6.15,0.0
503,1141,216,2025-09-24,4.96,0.0
504,1177,230,2025-05-17,9.46,1.46
505,1061,201,2025-06-18,6.88,0.0
506,1023,230,2025-07-02,4.08,0.0
507,1147,222,2025-06-11,4.66,0.0
508,1024,225,2025-07-26,6.96,0.0
509,1186,224,2025-07-04,7.07,0.0
510,1066,221,2025-12-11,4.61,0.0
511,1076,209,2026-03-16,5.39,0.0
512,1026,227,2026-03-17,6.79,0.0
513,1011,228,2025-06-06,5.05,0.0
514,1174,211,2026-04-25,5.74,0.0
515,1030,204,2025-12-16,6.56,0.0
516,1012,201,2026-03-29,9.11,1.11
517,1170,221,2026-03-20,9.11,1.11
518,1092,229,2025-10-04,5.02,0.0
519,1160,209,2025-05-21,6.63,0.0
520,1024,212,2025-10-13,9.27,1.27
521,1047,204,2025-05-31,8.89,0.89
522,1117,209,2026-02-17,6.4,0.0
523,1177,228,2025-07-30,9.01,1.01
524,1108,221,2026-01-15,6.87,0.0
525,1043,204,2025-11-21,9.32,1.32
526,1186,202,2026-03-04,4.8,0.0
527,1041,204,2025-10-04,9.89,1.89
528,1152,216,2025-07-10,6.5,0.0
529,1174,215,2025-12-29,8.81,0.81
530,1098,225,2025-05-14,5.09,0.0
531,1008,228,2025-08-19,6.15,0.0
532,1187,229,2026-04-19,8.11,0.11
533,1125,204,2025-06-26,4.78,0.0
534,1113,202,2025-06-19,9.33,1.33
535,1168,211,2026-01-07,4.38,0.0
536,1174,217,2026-04-23,4.07,0.0
537,1148,224,2025-12-14,8.61,0.61
538,1172,228,2025-08-27,7.39,0.0
539,1134,223,2026-04-13,6.03,0.0
540,1025,214,2025-09-30,8.2,0.2
541,1064,216,2026-03-11,7.97,0.0
542,1174,221,2026-01-09,6.07,0.0
543,1143,229,2026-02-19,6.31,0.0
544,1014,201,2025-08-22,9.93,1.93
545,1041,217,2026-04-29,7.86,0.0
546,1127,228,2025-10-04,9.09,1.09
547,1193,216,2025-07-07,4.99,0.0
548,1085,209,2026-03-18,5.92,0.0
549,1058,218,2025-07-14,4.3,0.0
550,1104,227,2026-04-19,7.86,0.0
551,1118,215,2025-11-01,5.41,0.0
552,1115,203,2025-05-07,8.81,0.81
553,1115,211,2025-05-25,9.14,1.14
554,1128,224,2025-07-07,4.71,0.0
555,1027,213,2025-06-07,7.92,0.0
556,1143,218,2026-04-01,6.47,0.0
557,1024,226,2025-08-26,4.0,0.0
558,1159,221,2025-10-09,7.63,0.0
559,1131,218,2025-12-31,5.83,0.0
560,1172,215,2025-06-22,5.24,0.0
561,1094,227,2025-12-27,9.7,1.7
562,1058,228,2025-06-01,4.33,0.0
563,1144,225,2025-10-04,6.73,0.0
564,1122,223,2025-12-11,7.72,0.0
565,1184,215,2025-11-07,7.94,0.0
566,1195,222,2025-05-08,4.68,0.0
567,1088,212,2025-05-21,5.33,0.0
568,1075,218,2025-05-09,8.98,0.98
569,1180,204,2026-03-26,7.13,0.0
570,1043,216,2025-10-20,4.27,0.0
571,1184,224,2026-04-09,4.84,0.0
572,1028,209,2025-10-03,8.33,0.33
573,1049,204,2025-05-31,7.67,0.0
574,1101,207,2026-03-13,9.58,1.58
575,1049,223,2025-11-08,6.74,0.0
576,1194,214,2026-01-12,6.03,0.0
577,1163,227,2025-07-14,4.28,0.0
578,1032,225,2025-12-20,8.03,0.03
579,1118,222,2025-08-10,9.35,1.35
580,1130,205,2025-06-15,7.54,0.0
581,1002,217,2025-07-09,9.78,1.78
582,1142,230,2025-12-31,8.42,0.42
583,1150,216,2026-01-03,6.6,0.0
584,1200,230,2026-03-24,9.55,1.55
585,1178,219,2026-04-14,9.46,1.46
586,1033,204,2025-11-23,5.04,0.0
587,1154,220,2026-03-06,6.32,0.0
588,1130,229,2025-11-05,9.3,1.3
589,1156,230,2025-06-12,6.31,0.0
590,1064,209,2026-04-17,8.16,0.16
591,1088,210,2025-10-28,6.39,0.0
592,1035,205,2025-08-30,6.72,0.0
593,1180,229,2026-03-04,6.48,0.0
594,1077,227,2026-04-20,8.49,0.49
595,1081,223,2026-04-09,8.21,0.21
596,1142,221,2025-10-12,8.42,0.42
597,1054,220,2026-01-09,5.3,0.0
598,1176,212,2025-10-17,8.29,0.29
599,1034,223,2026-01-23,9.53,1.53
600,1046,217,2025-08-08,7.9,0.0
601,1164,211,2026-04-07,7.25,0.0
602,1195,212,2025-11-07,8.26,0.26
603,1150,219,2025-12-12,7.37,0.0
604,1182,214,2025-11-18,9.66,1.66
605,1137,210,2025-05-23,8.05,0.05
606,1109,226,2025-08-20,9.26,1.26
607,1028,201,2025-10-27,4.08,0.0
608,1014,222,2025-07-02,6.29,0.0
609,1069,225,2025-09-15,4.34,0.0
610,1074,222,2025-11-17,8.71,0.71
611,1016,223,2025-12-03,5.5,0.0
612,1053,225,2025-11-03,8.71,0.71
613,1092,227,2025-07-13,7.25,0.0
614,1158,228,2025-05-26,6.72,0.0
615,1144,228,2025-12-30,8.05,0.05
616,1166,218,2025-05-10,5.35,0.0
617,1131,226,2025-10-21,6.33,0.0
618,1179,210,2025-07-02,8.78,0.78
619,1013,230,2026-02-03,8.16,0.16
620,1107,226,2026-03-20,6.29,0.0
621,1081,218,2026-02-26,9.85,1.85
622,1191,209,2025-07-04,4.32,0.0
623,1200,228,2025-06-02,5.22,0.0
624,1058,230,2025-12-23,9.22,1.22
625,1182,221,2025-08-04,7.8,0.0
626,1151,218,2025-10-25,6.21,0.0
627,1051,225,2025-08-25,8.43,0.43
628,1050,210,2025-08-10,8.35,0.35
629,1175,203,2026-02-13,6.69,0.0
630,1045,224,2025-08-27,5.12,0.0
631,1097,202,2025-12-26,7.08,0.0
632,1143,209,2025-06-28,6.57,0.0
633,1150,228,2026-01-04,4.78,0.0
