attendance_id,employee_id,attendance_date,attendance_status
98,1147,2025-10-30,WFH
99,1079,2026-04-13,Leave
100,1059,2026-02-05,Absent
101,1041,2026-01-22,Present
102,1024,2026-02-07,WFH
103,1097,2025-05-12,Present
104,1191,2026-02-26,Present
105,1103,2025-05-23,WFH
106,1015,2026-02-21,Present
107,1101,2025-10-16,Present
108,1191,2025-08-06,WFH
109,1155,2025-09-24,Present
110,1178,2026-04-28,Absent
111,1123,2026-02-28,Present
112,1168,2025-08-27,Leave
113,1104,2025-07-07,Absent
114,1043,2026-03-08,Present
115,1096,2025-11-13,Leave
116,1109,2026-01-22,Present
117,1070,2025-06-02,Present
118,1027,2025-05-14,Present
119,1093,2025-05-16,WFH
120,1200,2025-05-12,Present
121,1008,2026-01-08,Present
122,1073,2025-06-27,Present
123,1139,2025-08-13,Present
124,1017,2026-01-20,Present
125,1153,2025-11-06,Present
126,1194,2026-01-01,Present
127,1049,2026-02-13,WFH
128,1052,2026-01-08,Leave
129,1009,2025-11-15,Present
130,1069,2026-04-25,Present
131,1146,2026-05-05,WFH
132,1012,2026-04-14,WFH
133,1124,2025-05-12,Present
134,1013,2025-11-24,Present
135,1024,2026-01-31,Present
136,1003,2026-01-25,Present
137,1193,2025-07-04,Present
138,1102,2025-07-26,WFH
139,1050,2025-12-25,Present
140,1193,2025-08-06,Absent
141,1186,2025-06-04,Present
142,1034,2025-11-11,Leave
143,1173,2025-09-14,Present
144,1085,2025-11-27,Absent
145,1190,2025-09-22,WFH
146,1026,2025-09-01,WFH
147,1199,2025-06-24,Present
148,1007,2025-11-19,WFH
149,1098,2026-04-01,Absent
150,1151,2025-09-11,Present
151,1075,2026-04-19,Present
152,1039,2025-06-29,Leave
153,1119,2025-08-27,Present
154,1161,2025-08-31,Present
155,1184,2026-05-05,Present
156,1056,2026-01-14,Leave
157,1168,2025-05-24,Present
158,1197,2026-03-01,Leave
159,1042,2025-06-13,WFH
160,1133,2026-01-16,Leave
161,1156,2025-11-27,Leave
162,1134,2025-06-08,Present
163,1115,2026-04-27,Present
164,1087,2025-08-25,Present
165,1093,2026-03-01,WFH
166,1111,2026-04-09,Present
167,1183,2025-12-23,Leave
168,1100,2025-10-13,Present
169,1054,2025-11-17,WFH
170,1156,2025-10-15,Present
171,1040,2026-03-19,WFH
172,1161,2025-12-11,Absent
173,1025,2026-01-05,Present
174,1037,2025-11-02,Present
175,1141,2026-04-05,Present
176,1128,2025-09-12,Present
177,1117,2025-10-22,Present
178,1044,2025-11-22,Present
179,1042,2026-02-07,Present
180,1072,2026-02-04,WFH
181,1094,2025-07-04,Present
182,1023,2025-06-06,Present
183,1046,2025-10-13,Leave
184,1198,2025-05-08,Absent
185,1067,2026-01-17,Absent
186,1066,2025-11-19,Absent
187,1167,2025-08-21,Present
188,1032,2025-11-21,WFH
189,1125,2026-03-08,Present
190,1094,2026-03-31,Present
191,1103,2025-08-06,Absent
192,1159,2025-11-20,Leave
193,1034,2025-12-21,Absent
194,1094,2025-11-24,WFH
195,1160,2025-08-06,Present
196,1096,2026-02-23,Present
197,1175,2026-03-15,Absent
198,1130,2026-04-10,Absent
199,1068,2025-06-12,Leave
200,1011,2025-05-11,WFH
201,1165,2025-06-01,Present
202,1190,2025-07-01,Present
203,1180,2025-09-04,WFH
204,1003,2025-09-08,Present
205,1027,2025-08-30,Present
206,1097,2025-06-12,Present
207,1146,2026-03-09,Absent
208,1019,2025-05-17,Present
209,1100,2026-02-23,Absent
210,1172,2025-07-20,Present
211,1090,2025-05-21,Absent
212,1120,2025-05-29,Leave
213,1137,2026-03-30,Absent
214,1028,2026-03-03,Present
215,1047,2026-03-22,Leave
216,1028,2025-11-08,Absent
217,1197,2026-02-12,Absent
218,1052,2026-03-01,Absent
219,1085,2025-05-30,Present
220,1082,2025-08-19,Present
221,1155,2025-07-03,Absent
222,1055,2026-02-23,Leave
223,1190,2025-07-30,Absent
224,1030,2025-12-05,Present
225,1117,2026-04-08,Present
226,1140,2026-04-05,Present
227,1121,2026-03-22,Present
228,1164,2025-08-23,Present
229,1082,2025-11-12,WFH
230,1009,2025-06-26,WFH
231,1199,2025-07-07,Absent
232,1016,2025-05-25,Present
233,1111,2025-06-21,Absent
234,1055,2026-01-12,Present
235,1055,2025-12-12,Present
236,1195,2025-10-08,Leave
237,1109,2025-07-08,Present
238,1065,2025-11-30,Leave
239,1046,2025-10-06,Present
240,1037,2026-04-27,Present
241,1071,2026-02-21,Absent
242,1021,2025-06-07,Present
243,1183,2025-06-23,Absent
244,1108,2026-01-05,WFH
245,1055,2026-03-31,Leave
246,1067,2026-03-14,Present
247,1014,2026-04-21,Present
248,1110,2026-04-09,Present
249,1193,2025-07-28,Present
250,1043,2025-05-11,Present
251,1090,2025-06-23,Absent
252,1124,2026-04-03,Absent
253,1138,2025-07-10,Leave
254,1042,2025-12-09,Leave
255,1112,2025-05-27,Present
256,1178,2026-02-09,WFH
257,1100,2026-03-02,Present
258,1144,2025-09-05,WFH
259,1051,2026-04-12,Present
260,1186,2026-01-26,Leave
261,1149,2025-10-30,WFH
262,1038,2025-12-06,Present
263,1171,2026-02-02,Leave
264,1191,2025-07-05,Leave
265,1188,2025-10-28,Present
266,1004,2025-06-13,Present
267,1118,2026-02-06,Present
268,1128,2026-02-27,Present
269,1030,2026-02-21,Leave
270,1105,2025-08-18,Present
271,1134,2025-08-09,Leave
272,1001,2025-11-27,Absent
273,1033,2025-05-16,Leave
274,1116,2026-02-26,Leave
275,1149,2025-08-08,Present
276,1010,2025-12-24,Present
277,1191,2025-09-11,Present
278,1108,2025-10-08,Leave
279,1140,2025-06-01,Present
280,1154,2026-03-30,Absent
281,1056,2025-09-07,Present
282,1054,2025-10-29,Present
283,1174,2026-03-02,WFH
284,1004,2026-01-03,Present
285,1094,2026-05-07,Present
286,1078,2025-12-24,Present
287,1129,2025-08-22,Present
288,1180,2025-11-07,Absent
289,1167,2025-08-22,Absent
290,1106,2025-08-09,Absent
291,1091,2025-05-31,Present
292,1139,2025-09-04,Absent
293,1134,2026-02-12,Present
294,1030,2025-08-17,Present
295,1118,2025-05-16,Absent
296,1096,2026-01-18,Present
297,1142,2025-08-23,WFH
298,1042,2026-01-17,WFH
299,1112,2026-04-04,Absent
300,1073,2025-08-22,Leave
301,1177,2026-01-17,Leave
302,1112,2026-02-07,Leave
303,1073,2025-11-06,Leave
304,1159,2025-11-26,Present
305,1023,2025-11-09,Present
306,1023,2026-02-23,Leave
307,1005,2026-04-12,WFH
308,1106,2026-01-07,Present
309,1128,2025-07-28,Leave
310,1193,2026-02-25,WFH
311,1140,2025-08-07,Present
312,1163,2026-01-25,Absent
313,1129,2025-08-11,WFH
314,1009,2025-07-17,Leave
315,1075,2025-07-09,Absent
316,1055,2025-05-28,Present
317,1199,2025-06-26,Absent
318,1142,2026-02-01,Absent
319,1030,2025-12-06,Present
320,1121,2026-04-11,Present
321,1090,2025-07-30,Absent
322,1106,2026-04-05,Leave
323,1181,2026-02-26,Leave
324,1102,2026-02-04,Present
325,1096,2026-03-31,Present
326,1130,2025-08-11,Present
327,1069,2025-07-24,Leave
328,1068,2026-03-23,Present
329,1107,2025-09-23,Leave
330,1062,2026-01-01,Present
331,1107,2025-11-02,Present
332,1004,2025-09-18,Present
333,1040,2025-09-30,Present
334,1133,2025-09-03,Leave
335,1154,2025-12-23,Present
336,1086,2025-10-22,Present
337,1147,2026-01-17,Absent
338,1062,2025-09-24,WFH
339,1101,2026-02-20,Present
340,1158,2026-05-05,Leave
341,1101,2025-07-30,Present
342,1148,2026-02-07,Absent
343,1033,2026-02-08,Leave
344,1100,2026-01-18,Leave
345,1045,2025-12-02,Absent
346,1082,2025-12-19,WFH
347,1041,2025-06-16,Absent
348,1060,2026-02-20,Present
349,1182,2025-11-29,Present
350,1130,2025-11-23,Present
351,1162,2025-07-13,WFH
352,1101,2025-06-14,Leave
353,1067,2025-09-13,WFH
354,1041,2025-06-30,Present
355,1053,2026-04-09,Present
356,1024,2025-12-18,Present
357,1112,2025-09-02,Present
358,1161,2026-04-09,WFH
359,1040,2026-04-30,Present
360,1159,2025-12-17,Leave
361,1140,2025-06-14,Present
362,1147,2025-08-21,Absent
363,1007,2026-03-21,Leave
364,1188,2025-11-18,Present
365,1117,2025-06-23,Leave
366,1162,2025-06-30,Present
367,1048,2026-04-28,Present
368,1168,2025-07-15,Present
369,1077,2026-03-13,Present
370,1138,2025-05-17,Present
371,1186,2026-04-28,Absent
372,1198,2026-01-17,Present
373,1169,2025-08-28,Present
374,1071,2025-05-23,Present
375,1037,2025-06-08,Leave
376,1006,2026-02-17,Leave
377,1149,2025-06-11,Present
378,1029,2025-07-03,Absent
379,1153,2026-03-08,Present
380,1028,2026-04-06,Present
381,1073,2025-09-27,Present
382,1047,2025-10-27,Present
383,1020,2026-03-23,Absent
384,1093,2026-04-15,Present
385,1101,2025-05-14,Present
386,1126,2025-06-17,Present
387,1106,2026-01-25,Present
388,1125,2025-08-12,Leave
389,1020,2026-03-19,Present
390,1176,2026-02-15,Absent
391,1097,2025-08-14,Present
392,1163,2026-04-07,Absent
393,1042,2025-07-12,Present
394,1077,2025-12-15,Present
395,1046,2025-12-31,Leave
396,1146,2026-04-09,Leave
397,1156,2026-01-06,Present
398,1031,2026-03-28,Present
399,1089,2026-02-19,Absent
400,1158,2025-06-07,WFH
401,1140,2025-05-27,Present
402,1041,2025-07-20,WFH
403,1190,2025-08-08,Present
404,1032,2025-10-04,Present
405,1156,2025-09-14,Present
406,1138,2026-03-07,Present
407,1133,2025-10-11,WFH
408,1195,2026-02-16,Present
409,1056,2026-02-10,Present
410,1030,2025-12-15,Present
411,1008,2025-06-10,Present
412,1036,2025-12-13,Present
413,1022,2026-04-16,Leave
414,1178,2025-09-21,Present
415,1069,2026-01-29,Present
416,1124,2026-01-10,Present
417,1024,2025-10-17,Present
418,1182,2025-07-29,WFH
419,1167,2026-01-13,Present
420,1120,2025-07-27,Leave
421,1127,2025-07-17,Absent
422,1132,2025-09-25,Absent
423,1050,2025-08-30,Present
424,1045,2026-02-08,Present
425,1176,2026-05-05,Leave
426,1072,2025-11-11,Absent
427,1027,2025-05-14,WFH
428,1197,2025-12-19,WFH
429,1080,2025-10-05,Present
430,1053,2026-02-15,Leave
431,1125,2025-08-03,Absent
432,1115,2026-02-18,Absent
433,1153,2025-11-29,Leave
434,1070,2025-12-18,Present
435,1160,2025-07-03,Present
436,1156,2026-01-31,Absent
437,1110,2025-06-20,Present
438,1146,2025-12-22,Present
439,1096,2025-05-24,Leave
440,1017,2025-07-17,Absent
441,1043,2025-10-01,Present
442,1131,2025-11-06,Present
443,1151,2025-05-15,Absent
444,1076,2025-05-18,WFH
445,1166,2026-04-09,WFH
446,1091,2025-05-10,Absent
447,1008,2025-06-14,Present
448,1047,2025-08-20,Present
449,1110,2025-07-24,Present
450,1092,2025-05-09,Present
451,1019,2025-10-21,Present
452,1169,2025-07-05,Present
453,1096,2026-02-11,Present
454,1200,2026-03-09,Present
455,1032,2026-04-21,Present
456,1082,2025-07-03,Leave
457,1003,2026-01-06,Leave
458,1085,2026-03-15,Present
459,1120,2025-09-02,WFH
460,1083,2025-11-11,Present
461,1144,2025-07-10,Present
462,1099,2025-11-06,Present
463,1155,2026-03-18,Present
464,1135,2026-02-13,Present
465,1027,2025-12-16,WFH
466,1072,2026-02-13,Leave
467,1156,2026-03-14,Leave
468,1020,2026-02-21,WFH
469,1166,2026-01-15,Absent
470,1175,2025-09-13,Absent
471,1082,2026-02-02,Present
472,1051,2026-04-21,Present
473,1013,2025-12-08,Absent
474,1128,2026-01-16,Present
475,1071,2025-09-02,Absent
476,1031,2026-01-10,Present
477,1116,2026-03-21,Present
478,1154,2025-09-03,Present
479,1152,2025-05-15,Absent
480,1061,2025-05-30,WFH
481,1006,2025-08-06,Present
482,1005,2026-03-08,Leave
483,1148,2025-11-11,Present
484,1119,2025-10-31,Present
485,1034,2026-04-14,Absent
486,1010,2025-09-01,WFH
487,1136,2025-09-06,Present
488,1087,2025-08-21,Leave
489,1005,2025-10-28,Present
490,1121,2025-07-25,Present
491,1107,2026-04-28,Leave
492,1078,2025-05-24,Present
493,1082,2025-08-18,Present
494,1103,2025-08-25,Present
495,1143,2025-07-14,Present
496,1127,2026-03-23,WFH
497,1013,2025-12-09,Absent
498,1077,2025-12-24,Leave
499,1117,2025-05-09,Absent
500,1165,2025-11-29,Present
501,1096,2025-11-03,WFH
502,1027,2026-02-03,Present
503,1058,2025-12-29,Present
504,1003,2025-05-22,Present
505,1027,2025-09-09,Present
506,1177,2025-06-10,Leave
507,1112,2025-11-03,Present
508,1044,2026-01-09,Present
509,1049,2025-05-10,Leave
510,1095,2026-02-01,WFH
511,1002,2026-04-25,Leave
512,1014,2025-05-15,Present
513,1012,2025-12-07,Present
514,1013,2025-09-10,Present
515,1020,2026-01-15,Present
516,1085,2025-10-05,Leave
517,1157,2025-11-25,Absent
518,1070,2025-11-17,Leave
519,1044,2026-04-21,Present
520,1150,2025-06-17,Absent
521,1031,2025-11-28,Present
522,1082,2026-03-24,Present
523,1193,2025-06-23,WFH
524,1106,2025-05-21,Leave
525,1115,2025-10-19,Leave
526,1032,2025-09-17,WFH
527,1136,2025-11-15,Present
528,1148,2025-06-24,Absent
529,1170,2026-01-26,Absent
530,1072,2025-11-23,Present
531,1198,2026-02-23,Leave
532,1124,2025-11-18,Present
533,1024,2025-10-06,Present
534,1197,2025-08-28,Present
535,1183,2025-05-31,Present
536,1091,2025-08-14,WFH
537,1063,2025-10-11,Leave
538,1166,2025-07-09,Leave
539,1053,2025-12-20,Leave
540,1020,2025-08-18,Present
541,1127,2025-11-28,Present
542,1055,2025-10-06,Present
543,1172,2025-10-01,Present
544,1120,2026-02-16,Absent
545,1049,2026-02-25,Absent
546,1027,2025-11-21,Present
547,1054,2025-07-10,WFH
548,1195,2025-12-24,WFH
549,1132,2026-01-09,Present
550,1195,2025-12-17,Present
551,1182,2025-10-05,Absent
552,1168,2025-06-06,Present
553,1130,2026-01-30,Present
554,1034,2026-03-28,Present
555,1094,2025-08-13,Absent
556,1116,2025-08-11,WFH
557,1132,2026-01-24,Present
558,1200,2025-10-16,Absent
559,1049,2025-10-23,Present
560,1072,2026-02-06,Absent
561,1043,2026-01-04,Leave
562,1079,2025-06-19,WFH
563,1166,2026-02-28,Present
564,1038,2025-06-12,Absent
565,1028,2025-09-02,Leave
566,1029,2025-08-16,Present
567,1005,2025-12-21,Absent
568,1048,2026-04-09,Present
569,1008,2026-01-17,Absent
570,1170,2025-11-24,WFH
571,1116,2026-03-08,Present
572,1068,2025-05-23,Present
573,1141,2025-06-09,Present
574,1091,2025-07-31,Absent
575,1055,2025-09-02,Present
576,1102,2026-05-01,WFH
577,1111,2025-10-23,WFH
578,1086,2025-10-10,Present
579,1113,2026-03-01,Present
580,1095,2026-03-08,Present
581,1013,2025-08-13,Leave
582,1098,2025-08-28,Leave
583,1109,2025-08-17,Present
584,1076,2026-04-16,Present
585,1104,2026-04-28,Present
586,1153,2026-03-21,Present
587,1136,2025-06-01,WFH
588,1127,2026-02-03,WFH
589,1111,2025-11-18,Present
590,1175,2025-11-10,Present
591,1166,2026-04-16,Present
592,1029,2025-10-11,Present
593,1030,2025-06-13,Present
594,1010,2025-05-15,WFH
595,1069,2025-12-07,Present
596,1017,2025-09-05,WFH
597,1026,2025-07-22,Present
598,1058,2025-11-05,WFH
599,1180,2025-07-17,Leave
600,1104,2025-05-14,Absent
601,1101,2026-01-02,Present
602,1057,2025-08-17,Leave
603,1178,2026-05-04,Present
604,1127,2025-06-20,Present
605,1044,2026-03-07,Present
606,1089,2025-06-17,Leave
607,1074,2025-09-11,Leave
608,1153,2026-05-01,Present
609,1188,2026-04-18,Present
610,1025,2025-07-03,Present
611,1129,2025-06-01,Leave
612,1160,2025-10-30,Absent
613,1190,2025-08-21,Present
614,1177,2025-09-20,Present
615,1044,2026-01-07,Present
616,1175,2025-11-01,Present
617,1043,2026-01-27,Present
618,1086,2025-08-30,Absent
619,1037,2026-01-03,Present
620,1171,2026-03-24,Absent
621,1110,2025-05-13,Present
622,1006,2025-12-27,Present
623,1068,2026-04-25,Present
624,1044,2026-01-20,Leave
625,1195,2025-08-30,Present
626,1153,2025-09-07,Present
627,1122,2025-06-23,WFH
628,1001,2025-07-17,Absent
629,1064,2026-01-29,Absent
630,1029,2025-10-25,Present
631,1005,2025-12-27,WFH
632,1175,2026-03-11,Present
633,1059,2025-06-19,WFH
634,1129,2025-12-27,Present
635,1194,2025-09-03,Present
636,1199,2026-05-05,Present
637,1026,2026-04-13,Present
638,1189,2025-05-18,Present
639,1116,2026-01-10,Absent
640,1189,2026-01-23,Present
641,1140,2026-02-20,Present
642,1170,2025-11-26,Absent
643,1065,2025-12-13,Present
644,1118,2025-05-20,Present
645,1091,2025-09-20,Present
646,1182,2026-04-20,Present
647,1133,2025-05-10,Leave
648,1153,2026-04-07,Absent
649,1029,2026-02-16,Present
650,1176,2025-06-03,WFH
651,1187,2025-11-23,Leave
652,1006,2025-08-26,Present
653,1106,2025-10-27,Present
654,1169,2025-07-17,Present
655,1092,2025-12-18,Absent
656,1008,2025-05-31,Present
657,1148,2025-08-01,Leave
658,1179,2025-08-08,Absent
659,1093,2026-02-03,Present
660,1191,2025-05-29,Present
661,1050,2026-01-08,Absent
662,1164,2025-08-04,Present
663,1071,2026-05-04,Leave
664,1174,2025-07-02,WFH
665,1116,2026-04-22,WFH
666,1045,2025-07-17,Present
667,1174,2025-06-09,Present
668,1085,2025-07-25,Absent
669,1151,2026-04-15,Absent
670,1071,2025-08-22,Present
671,1049,2026-01-11,Present
672,1149,2025-11-10,WFH
673,1180,2025-10-07,Present
674,1157,2026-02-15,Present
675,1111,2025-10-07,Absent
676,1146,2026-02-12,Present
677,1074,2025-11-02,Present
678,1003,2026-03-14,Absent
679,1176,2025-05-20,Present
680,1120,2026-03-17,Leave
681,1039,2025-05-25,WFH
682,1075,2025-11-12,WFH
683,1143,2025-10-18,Leave
684,1042,2026-03-13,Present
685,1125,2025-07-03,Present
686,1017,2025-12-17,Present
687,1004,2025-11-27,Absent
688,1011,2025-07-22,Present
689,1073,2025-12-21,WFH
690,1032,2025-06-18,Present
691,1126,2025-11-08,Present
692,1002,2025-05-13,Absent
693,1091,2025-10-03,Leave
694,1001,2026-03-07,Present
695,1065,2025-09-03,Present
696,1090,2026-03-27,Present
697,1129,2025-06-26,Leave
698,1197,2025-07-01,WFH
699,1040,2025-08-06,Present
700,1183,2026-01-23,Present
701,1037,2026-01-04,Leave
702,1051,2025-08-25,Absent
703,1150,2026-01-02,Present
704,1075,2026-03-04,Present
705,1009,2026-03-21,Absent
706,1091,2026-02-18,Present
707,1174,2025-05-21,Leave
708,1099,2026-02-07,Absent
709,1103,2026-04-14,Present
710,1067,2026-03-30,Present
711,1153,2025-07-04,Present
712,1045,2025-12-15,WFH
713,1112,2025-11-12,Leave
714,1083,2026-03-04,WFH
715,1036,2026-05-06,Leave
716,1197,2025-08-26,Present
717,1065,2026-04-30,Present
718,1107,2026-04-29,WFH
719,1052,2026-03-21,Present
720,1079,2026-01-15,Present
721,1077,2025-12-29,WFH
722,1161,2026-02-28,Absent
723,1140,2026-01-03,Present
724,1097,2026-03-16,Absent
725,1025,2025-09-01,Present
726,1135,2025-11-10,Absent
727,1178,2026-01-27,Present
728,1129,2025-07-23,Leave
729,1183,2026-03-24,Present
730,1120,2025-07-03,Present
731,1110,2025-07-11,Absent
732,1108,2026-04-16,Absent
733,1119,2025-08-05,Present
734,1144,2026-05-05,Present
735,1197,2025-09-29,Absent
736,1023,2026-03-31,Present
737,1158,2025-05-22,Present
738,1063,2025-05-12,WFH
739,1132,2026-03-28,Present
740,1033,2025-06-28,WFH
741,1140,2025-05-23,WFH
742,1076,2025-08-26,Present
743,1194,2025-09-15,Absent
744,1033,2025-06-07,Absent
745,1172,2026-04-17,Present
746,1119,2025-06-15,WFH
747,1118,2025-11-06,Present
748,1022,2025-09-15,Present
749,1070,2025-12-07,Leave
750,1028,2026-03-26,Present
751,1153,2025-06-15,Present
752,1075,2025-07-14,WFH
753,1124,2026-03-05,Leave
754,1085,2025-06-05,Present
755,1032,2025-07-23,Leave
756,1150,2025-05-19,Leave
757,1131,2025-09-12,Leave
758,1184,2025-07-10,Present
759,1180,2025-05-24,Present
760,1133,2026-04-01,Present
761,1144,2025-10-23,Leave
762,1127,2026-04-19,Present
763,1058,2025-10-26,Leave
764,1164,2025-05-24,Present
765,1078,2026-03-01,Leave
766,1080,2025-07-16,Leave
767,1002,2025-12-23,Absent
768,1160,2025-12-04,Leave
769,1052,2025-06-23,Present
770,1018,2025-11-12,Present
771,1040,2025-12-05,WFH
772,1031,2025-06-18,WFH
773,1025,2026-01-31,Present
774,1053,2026-03-21,Present
775,1122,2026-03-15,Present
776,1130,2026-01-22,Absent
777,1101,2025-11-14,Present
778,1032,2025-09-19,Present
779,1104,2025-08-19,Absent
780,1048,2026-01-09,Present
781,1140,2026-02-23,Present
782,1157,2025-06-28,Leave
783,1113,2025-07-22,Leave
784,1158,2026-01-04,Present
785,1111,2026-03-30,Present
786,1163,2026-04-18,Present
787,1048,2025-09-24,Present
788,1191,2025-10-14,Leave
789,1062,2026-04-07,Present
790,1131,2026-01-08,Leave
791,1180,2025-08-06,WFH
792,1052,2025-06-28,Absent
793,1123,2025-10-14,Present
794,1075,2025-10-24,Leave
795,1026,2025-08-21,WFH
796,1127,2026-04-17,Present
797,1171,2025-09-07,Present
798,1101,2025-10-06,Absent
799,1179,2025-05-07,Present
800,1119,2025-06-27,Absent
801,1109,2025-07-19,Present
802,1008,2025-08-24,Present
803,1118,2026-03-01,Present
804,1145,2026-04-19,Absent
805,1003,2025-09-02,WFH
806,1078,2025-05-12,Present
807,1166,2026-01-03,Leave
808,1169,2025-07-06,WFH
809,1114,2025-12-30,Present
810,1091,2026-01-16,Present
811,1120,2026-04-10,Leave
812,1118,2025-06-30,Present
813,1003,2025-12-28,Present
814,1092,2025-07-05,WFH
815,1129,2025-05-13,Present
816,1090,2025-11-03,Leave
817,1135,2025-10-05,Absent
818,1132,2025-12-11,Present
819,1045,2026-05-06,Leave
820,1039,2026-02-17,Present
821,1168,2025-12-29,Leave
822,1145,2026-01-24,Present
823,1118,2025-07-26,Leave
824,1036,2026-03-27,Present
825,1196,2025-10-17,Leave
826,1078,2025-11-02,Absent
827,1018,2026-01-11,Leave
828,1124,2025-12-02,Absent
829,1121,2025-07-12,WFH
830,1169,2025-12-22,Present
831,1148,2026-01-03,Leave
832,1130,2025-08-15,Leave
833,1135,2026-03-26,Present
834,1034,2025-05-23,Leave
835,1083,2026-04-07,WFH
836,1149,2025-06-24,Present
837,1150,2026-01-04,WFH
838,1104,2025-06-06,Present
839,1012,2025-06-29,Present
840,1188,2026-05-01,Present
841,1060,2025-05-17,Present
842,1171,2025-08-14,Present
843,1128,2025-09-28,Leave
844,1122,2026-01-04,Present
845,1195,2025-12-24,Present
846,1198,2025-10-28,Leave
847,1061,2026-01-05,Present
848,1045,2025-09-29,Leave
849,1099,2026-03-01,Absent
850,1017,2026-03-19,Present
851,1157,2025-07-05,Present
852,1030,2025-08-21,Present
853,1192,2025-09-18,Present
854,1114,2026-02-12,Present
855,1156,2025-12-28,Leave
856,1008,2025-05-27,Present
857,1083,2026-05-04,Present
858,1179,2025-12-29,Absent
859,1097,2025-09-06,Present
860,1164,2025-10-29,WFH
861,1143,2025-11-30,Present
862,1051,2025-06-04,Present
863,1126,2025-07-15,Absent
864,1174,2025-08-27,Present
865,1058,2025-12-14,Present
866,1190,2026-03-17,Present
867,1112,2025-10-14,WFH
868,1050,2025-05-13,Present
869,1150,2025-07-06,Present
870,1162,2025-06-24,Leave
871,1025,2026-04-07,Present
872,1009,2025-06-04,Present
873,1002,2026-01-16,Present
874,1199,2025-08-31,Absent
875,1146,2026-04-16,WFH
876,1019,2025-07-10,Present
877,1048,2026-03-15,Leave
878,1187,2026-01-18,Leave
879,1165,2026-02-17,WFH
880,1128,2026-01-28,Present
881,1054,2025-10-05,WFH
882,1122,2025-12-26,WFH
883,1091,2026-04-18,Present
884,1159,2025-06-10,WFH
885,1036,2025-11-21,Present
886,1113,2025-11-28,Absent
887,1161,2025-12-31,Absent
888,1019,2026-03-11,WFH
889,1021,2025-10-10,Present
890,1133,2026-03-06,Present
891,1026,2025-09-09,Present
892,1128,2026-03-20,Present
893,1014,2025-10-04,WFH
894,1139,2025-07-02,Present
895,1006,2025-08-08,Present
896,1075,2025-10-11,Present
897,1100,2025-11-17,Leave
898,1092,2025-06-16,Present
899,1041,2026-04-28,Present
900,1020,2025-10-14,WFH
901,1148,2025-09-02,Present
